I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
5300,No,1991,7,23,19,44,50.2,5,4.7,,4.7,5,,,,5,PERU,,"PERU:  MACA, CHIVAY, YANQUE",-15.679,-71.574,160,92,2,,,30,1,,2,,3,,,92,2,,,30,1,,2,,3,,
5301,No,1991,7,24,9,45,41.8,26,5.1,,5.1,5.4,,,,8,IRAQ,,"IRAQ:  ARBIL,  DIBS",36.52,44.066,140,20,1,,,,3,,2,100,2,100,2,20,1,,,,3,,2,100,2,,
5302,No,1991,8,9,9,33,49.6,5,4.7,,4.7,4.7,,,,,COSTA RICA,,COSTA RICA:  CARTAGO,9.737,-84.054,100,,,,,,,,1,,,30,1,,,,,,,,1,,,30,1
5303,No,1991,8,17,6,18,34,10,5.2,,5.2,5.5,,,,5,VENEZUELA,,VENEZUELA:  BARQUISIMETO,10.045,-69.948,160,,,,,,,,2,,,100,2,,,,,,,,2,,,100,2
5304,No,1991,8,17,19,29,40,12,6.2,,6.2,6,,,,7,USA,CA,"CALIFORNIA:  HONEYDEW, WHITETHORN, PETROLIA",40.235,-124.348,150,,,,,,,,2,,,,,,,,,,,,2,,,,
5305,No,1991,9,8,13,50,30.8,88,5.6,,,5.6,,,,,NEW ZEALAND,,"NEW ZEALAND:  WELLINGTON, WANGANUI",-40.25,175.053,170,,,,,,,,2,,,,3,,,,,,,,2,,,,3
5306,No,1991,9,18,9,48,13.1,5,6.2,,6.2,5.7,,,,6,GUATEMALA,,"GUATEMALA:  GUATEMALA CITY, PACHUTA, SOLOLA",14.646,-90.986,100,25,1,,,200,3,,3,,,,,25,1,,,200,3,,3,,,,
6481,Yes,1991,10,14,15,58,12.7,23,7.2,7.2,7.1,6.3,,,,,SOLOMON ISLANDS,,SOLOMON ISLANDS,-9.094,158.442,170,,,,,,,,,,,,,,,,,,,,,,,,
5307,No,1991,10,19,21,23,14.3,10,7,,7,6.5,,,,8,INDIA,,"INDIA:  CHAMOLI, UTTARKASHI, NEW DELHI, CHANDIGARH",30.78,78.774,60,2000,4,,,1800,4,60,4,7500,4,7500,4,2000,4,,,1800,4,60,4,7500,4,,
5309,No,1991,11,4,1,50,31.6,39,5.4,,5.4,5.4,,,,,IRAN,,IRAN:  BEHBAHAN,30.666,50.218,140,,,,,51,2,,2,290,3,,,,,,,51,2,,2,290,3,,
5310,No,1991,11,8,15,13,44.1,22,5,,5,5.6,,,,,INDIA,,"INDIA:  JODHPUR, JAISALMER",26.323,70.607,60,,,,,,,,1,,,,,,,,,,,,1,,,,
5311,No,1991,11,19,22,28,51,21,6.4,,6.4,6.4,,,,6,COLOMBIA,,"COLOMBIA:  CHACO, BUENAVENTURA, CALI",4.554,-77.442,160,2,1,,,,,,1,,,28,1,2,1,,,,,,2,,,28,1
